slug	compliment	tweet_link	date
cpac	something I look forward to every year	https://twitter.com/realDonaldTrump/status/963152799486828544	2018-02-12T00:00:00Z
nick-kruczek	wonderful and talented	https://twitter.com/realDonaldTrump/status/963033580107653120	2018-02-12T00:00:00Z
sue-kruczek	kind words while on @foxandfriends	https://twitter.com/realDonaldTrump/status/963033580107653120	2018-02-12T00:00:00Z
lou-barletta	a Great Republican	https://twitter.com/realDonaldTrump/status/962784821389996033	2018-02-11T00:00:00Z
lou-barletta	will make a FANTASTIC Senator	https://twitter.com/realDonaldTrump/status/962784821389996033	2018-02-11T00:00:00Z
lou-barletta	strong & smart	https://twitter.com/realDonaldTrump/status/962784821389996033	2018-02-11T00:00:00Z
lou-barletta	loves Pennsylvania & loves our Country!	https://twitter.com/realDonaldTrump/status/962784821389996033	2018-02-11T00:00:00Z
winter-olympics	MAGNIFICENT	https://twitter.com/realDonaldTrump/status/961362249880252416	2018-02-07T00:00:00Z
winter-olympics	What the South Korean people have built is truly an inspiration!	https://twitter.com/realDonaldTrump/status/961362249880252416	2018-02-07T00:00:00Z
tesla	American ingenuity at its best!	https://twitter.com/realDonaldTrump/status/961073467784421382	2018-02-07T00:00:00Z
edwin-jackson	a wonderful young man	https://twitter.com/realDonaldTrump/status/960869939694505984	2018-02-06T00:00:00Z
devin-nunes	a man of tremendous courage and grit	https://twitter.com/realDonaldTrump/status/960530665702912000	2018-02-05T00:00:00Z
devin-nunes	may someday be recognized as a Great American Hero for what he has exposed and what he has had to endure!	https://twitter.com/realDonaldTrump/status/960530665702912000	2018-02-05T00:00:00Z
philadelphia-eagles	great Super Bowl victory!	https://twitter.com/realDonaldTrump/status/960361010904338432	2018-02-05T00:00:00Z
justice-department	Rank & File are great people!	https://twitter.com/realDonaldTrump/status/959389424806191104	2018-02-02T00:00:00Z
fbi	Rank & File are great people!	https://twitter.com/realDonaldTrump/status/959389424806191104	2018-02-02T00:00:00Z
west-virginia	beautiful	https://twitter.com/realDonaldTrump/status/959029384052166657	2018-02-01T00:00:00Z
davos	a very exciting two days	https://twitter.com/realDonaldTrump/status/956937916374138880	2018-01-26T00:00:00Z
switzerland	great friendship	https://twitter.com/realDonaldTrump/status/956849981528379392	2018-01-26T00:00:00Z
nasa	brave men and women	https://twitter.com/realDonaldTrump/status/956657520562573312	2018-01-25T00:00:00Z
jim-acosta	Thank you for your honesty Jim!	https://twitter.com/realDonaldTrump/status/955764970590961665	2018-01-23T00:00:00Z
doug-schoen	very good grade and statements	https://twitter.com/realDonaldTrump/status/955249077645643776	2018-01-22T00:00:00Z
us-workers	incredible	https://twitter.com/realDonaldTrump/status/954092417250222082	2018-01-18T00:00:00Z
rick-saccone	a great guy	https://twitter.com/realDonaldTrump/status/953973568035086336	2018-01-18T00:00:00Z
the-media	there are many great reporters I respect	https://twitter.com/realDonaldTrump/status/953795518592843777	2018-01-18T00:00:00Z
chrysler	very wise decision	https://twitter.com/realDonaldTrump/status/951648197440569344	2018-01-12T00:00:00Z
norway	a great friend and ally of the United States!	https://twitter.com/realDonaldTrump/status/951204878562549767	2018-01-10T00:00:00Z
tennessee	amazing state	https://twitter.com/realDonaldTrump/status/950443653666713601	2018-01-08T00:00:00Z
noko-talks	a good thing!	https://twitter.com/realDonaldTrump/status/948879774277128197	2018-01-04T00:00:00Z
iran	Such respect for the people of Iran	https://twitter.com/realDonaldTrump/status/948548807612084224	2018-01-03T00:00:00Z
orrin-hatch	absolutely incredible career	https://twitter.com/realDonaldTrump/status/948318907848413184	2018-01-02T00:00:00Z
orrin-hatch	my friend	https://twitter.com/realDonaldTrump/status/948318907848413184	2018-01-02T00:00:00Z
orrin-hatch	will be greatly missed in the U.S. Senate!	https://twitter.com/realDonaldTrump/status/948318907848413184	2018-01-02T00:00:00Z
brandon-judd	kind words on how well we are doing at the Border	https://twitter.com/realDonaldTrump/status/948188264858603520	2018-01-02T00:00:00Z
the-year-2018	a great year for America!	https://twitter.com/realDonaldTrump/status/947592785519173637	2017-12-31T00:00:00Z
the-year-2018	a great New Year!	https://twitter.com/realDonaldTrump/status/947824196909961216	2018-01-01T00:00:00Z
merry-christmas	cherished and beautiful phrase	https://twitter.com/realDonaldTrump/status/945126026824298497	2017-12-25T00:00:00Z
ron-desantis	a brilliant young leader	https://twitter.com/realDonaldTrump/status/944276471614509057	2017-12-22T00:00:00Z
ron-desantis	would make a GREAT Governor of Florida	https://twitter.com/realDonaldTrump/status/944276471614509057	2017-12-22T00:00:00Z
ron-desantis	He loves our Country and is a true FIGHTER!	https://twitter.com/realDonaldTrump/status/944276471614509057	2017-12-22T00:00:00Z
cathy-mcmorris-rodgers	great House Republican	https://twitter.com/realDonaldTrump/status/943213901625294849	2017-12-19T00:00:00Z
kevin-mccarthy	great House Republican	https://twitter.com/realDonaldTrump/status/943213901625294849	2017-12-19T00:00:00Z
kevin-mccarthy	Couldn’t agree w/you more. TOGETHER, we are #MAGA	https://twitter.com/realDonaldTrump/status/950937350003183618	2018-01-10T00:00:00Z
david-bossie	great and hardworking guy	https://twitter.com/realDonaldTrump/status/942044657613230080	2017-12-16T00:00:00Z
kevin-brady	Great job	https://twitter.com/realDonaldTrump/status/941868639199916037	2017-12-16T00:00:00Z
kevin-brady	we are all proud of you!	https://twitter.com/realDonaldTrump/status/941868639199916037	2017-12-16T00:00:00Z
kevin-brady	great House Republican	https://twitter.com/realDonaldTrump/status/943213901625294849	2017-12-19T00:00:00Z
doug-jones	Congratulations to Doug Jones on a hard fought victory. The write-in votes played a very big factor, but a win is a win.	https://twitter.com/realDonaldTrump/status/940795587733151744	2017-12-13T00:00:00Z
mississippi-museums	two extraordinary museums	https://twitter.com/realDonaldTrump/status/939560154269405184	2017-12-09T00:00:00Z
phil-bryant	popular and respected	https://twitter.com/realDonaldTrump/status/939521466634326016	2017-12-09T00:00:00Z
mississippi	great state	https://twitter.com/realDonaldTrump/status/939521466634326016	2017-12-09T00:00:00Z
andrew-jackson-book	Go get the new book on Andrew Jackson	https://twitter.com/realDonaldTrump/status/938756989542457344	2017-12-07T00:00:00Z
andrew-jackson-book	Really good	https://twitter.com/realDonaldTrump/status/938756989542457344	2017-12-07T00:00:00Z
salt-lake-city	Utah’s MAGNIFICENT Capitol	https://twitter.com/realDonaldTrump/status/938102355878440960	2017-12-05T00:00:00Z
turkey-pardoning	a wonderful American Tradition	https://twitter.com/realDonaldTrump/status/933105158275325952	2017-11-21T00:00:00Z
philippines-embassy-staff	amazing staff	https://twitter.com/realDonaldTrump/status/930362633852735488	2017-11-14T00:00:00Z
philippines-embassy-staff	GREAT WORK!	https://twitter.com/realDonaldTrump/status/930362633852735488	2017-11-14T00:00:00Z
tax-bill	GREAT	https://twitter.com/realDonaldTrump/status/930259298407419904	2017-11-14T00:00:00Z
tax-bill	coming along very well, great support	https://twitter.com/realDonaldTrump/status/935152378747195392	2017-11-27T00:00:00Z
tax-bill	Shaping up even better than projected	https://twitter.com/realDonaldTrump/status/939851058788134913	2017-12-10T00:00:00Z
tax-bill	looking very good	https://twitter.com/realDonaldTrump/status/941291666564141057	2017-12-14T00:00:00Z
tax-bill	Really great!	https://twitter.com/realDonaldTrump/status/948189482284707840	2018-01-02T00:00:00Z
alax-azar	He will be a star for better healthcare and lower drug prices!	https://twitter.com/realDonaldTrump/status/930087113764327424	2017-11-13T00:00:00Z
russia	having a good relationship with Russia is a good thing, not a bad thing	https://twitter.com/realDonaldTrump/status/929503641014112256	2017-11-12T00:00:00Z
russia	Russia can greatly help!	https://twitter.com/realDonaldTrump/status/929503641014112256	2017-11-12T00:00:00Z
king-salman	I have great confidence in King Salman and the Crown Prince of Saudi Arabia, they know exactly what they are doing	https://twitter.com/realDonaldTrump/status/927672843504177152	2017-11-06T00:00:00Z
moon-jae-in	a fine gentleman	https://twitter.com/realDonaldTrump/status/927648870796070912	2017-11-06T00:00:00Z
moon-jae-in	beautiful welcoming ceremony	https://twitter.com/realDonaldTrump/status/927844454957850625	2017-11-07T00:00:00Z
hideki-matsuyama	wonderful	https://twitter.com/realDonaldTrump/status/927059219370643456	2017-11-05T00:00:00Z
hawaii	such a beautiful welcome	https://twitter.com/realDonaldTrump/status/926647019455766528	2017-11-04T00:00:00Z
us-court-system	rapidly changing for the better!	https://twitter.com/realDonaldTrump/status/925845770724618240	2017-11-01T00:00:00Z
michael-caputo	Great job	https://twitter.com/realDonaldTrump/status/924966722544848896	2017-10-30T00:00:00Z
jimmy-carter	nice remarks	https://twitter.com/realDonaldTrump/status/924251519121346560	2017-10-28T00:00:00Z
jimmy-carter	Thank you Mr. President!	https://twitter.com/realDonaldTrump/status/924251519121346560	2017-10-28T00:00:00Z
diane-black	highly respected	https://twitter.com/realDonaldTrump/status/923925428372492288	2017-10-27T00:00:00Z
diane-black	did a GREAT job in passing Budget	https://twitter.com/realDonaldTrump/status/923925428372492288	2017-10-27T00:00:00Z
lee-greenwood	great	https://twitter.com/realDonaldTrump/status/923894747793580033	2017-10-27T00:00:00Z
lee-greenwood	You and your beautiful song have made such a difference	https://twitter.com/realDonaldTrump/status/923894747793580033	2017-10-27T00:00:00Z
joy-villa	She has many fans!	https://twitter.com/realDonaldTrump/status/923871062072295427	2017-10-27T00:00:00Z
middle-class-tax-break	great and popular	https://twitter.com/realDonaldTrump/status/922428118685581313	2017-10-23T00:00:00Z
a-place-called-heaven	Great book	https://twitter.com/realDonaldTrump/status/921524504836395008	2017-10-20T00:00:00Z
antonio-guterres	we appreciate all you do!	https://twitter.com/realDonaldTrump/status/921448521617821701	2017-10-20T00:00:00Z
brad-thor	wonderful compliment	https://twitter.com/realDonaldTrump/status/920794597265088512	2017-10-18T00:00:00Z
ed-gillespie	will never let you down!	https://twitter.com/realDonaldTrump/status/919313707355787264	2017-10-14T00:00:00Z
ed-gillespie	Strong on crime	https://twitter.com/realDonaldTrump/status/923551572218572802	2017-10-26T00:00:00Z
ed-gillespie	he might even save our great statues/heritage!	https://twitter.com/realDonaldTrump/status/923551572218572802	2017-10-26T00:00:00Z
ed-gillespie	will be a great Governor	https://twitter.com/realDonaldTrump/status/923552633633337344	2017-10-26T00:00:00Z
