"insult_slugs","quotes_vec","tweet","tweet_link","date"
"us-australia-refugee-deal","dumb deal!","Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!","https://twitter.com/realDonaldTrump/status/827002559122567168",2017-02-02 03:55:49
"scotus-rally","mic did not work","Nancy Pelosi and Fake Tears Chuck Schumer held a rally at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!","https://twitter.com/realDonaldTrump/status/826390034693623809",2017-01-31 11:21:52
"scotus-rally","a mess,","Nancy Pelosi and Fake Tears Chuck Schumer held a rally at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!","https://twitter.com/realDonaldTrump/status/826390034693623809",2017-01-31 11:21:52
"refugee-crisis-in-europe","a horrible mess!","Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!","https://twitter.com/realDonaldTrump/status/825692045532618753",2017-01-29 13:08:18
"chelsea-manning","Ungrateful TRAITOR","Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!","https://twitter.com/realDonaldTrump/status/824573698774601729",2017-01-26 11:04:24
"chelsea-manning","should never have been released from prison","Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!","https://twitter.com/realDonaldTrump/status/824573698774601729",2017-01-26 11:04:24
"chelsea-manning","Terrible!","Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!","https://twitter.com/realDonaldTrump/status/824573698774601729",2017-01-26 11:04:24
"chicago","If Chicago doesn't fix the horrible carnage going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!","If Chicago doesn't fix the horrible ""carnage"" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!","https://twitter.com/realDonaldTrump/status/824080766288228352",2017-01-25 02:25:40
"today-show","doing so badly compared to its glorious past","No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!","https://twitter.com/realDonaldTrump/status/821705440178348033",2017-01-18 13:06:58
"today-show","Little credibility!","No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!","https://twitter.com/realDonaldTrump/status/821705440178348033",2017-01-18 13:06:58
"nbc","biased","No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!","https://twitter.com/realDonaldTrump/status/821705440178348033",2017-01-18 13:06:58
"pollsters","did the phony election polls","The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before.","https://twitter.com/realDonaldTrump/status/821344302651555840",2017-01-17 13:11:56
"pollsters","were so wrong","The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before.","https://twitter.com/realDonaldTrump/status/821344302651555840",2017-01-17 13:11:56
"pollsters","rigged","The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before.","https://twitter.com/realDonaldTrump/status/821344302651555840",2017-01-17 13:11:56
"john-brennan","Not good!","much worse - just look at Syria (red line), Crimea, Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?","https://twitter.com/realDonaldTrump/status/820789938887294977",2017-01-16 00:29:05
"john-lewis","should spend more time on fixing and helping his district, which is in horrible shape and falling apart","Congressman John Lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to......","https://twitter.com/realDonaldTrump/status/820251730407473153",2017-01-14 12:50:26
"john-lewis","All talk, talk, talk - no action or results","mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!","https://twitter.com/realDonaldTrump/status/820255947956383744",2017-01-14 13:07:12
"john-lewis","Sad!","mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!","https://twitter.com/realDonaldTrump/status/820255947956383744",2017-01-14 13:07:12
"trump-report","FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!","FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!","https://twitter.com/realDonaldTrump/status/818990655418617856",2017-01-11 01:19:23
"trump-report","Very unfair!","Russia just said the unverified report paid for by political opponents is ""A COMPLETE AND TOTAL FABRICATION, UTTER NONSENSE."" Very unfair!","https://twitter.com/realDonaldTrump/status/819155311793700865",2017-01-11 12:13:40
"trump-report","fake news","Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?","https://twitter.com/realDonaldTrump/status/819164172781060096",2017-01-11 12:48:52
"trump-report","false and fictitious","James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up, phony facts.Too bad!","https://twitter.com/realDonaldTrump/status/819520238446411777",2017-01-12 12:23:45
"trump-report","illegally circulated","James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up, phony facts.Too bad!","https://twitter.com/realDonaldTrump/status/819520238446411777",2017-01-12 12:23:45
"trump-report","Made up, phony facts","James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up, phony facts.Too bad!","https://twitter.com/realDonaldTrump/status/819520238446411777",2017-01-12 12:23:45
"trump-report","Totally made up facts by sleazebag political operatives","Totally made up facts by sleazebag political operatives, both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...","https://twitter.com/realDonaldTrump/status/819864373988573184",2017-01-13 11:11:13
"meryl-streep","one of the most over-rated actresses in Hollywood","Meryl Streep, one of the most over-rated actresses in Hollywood, doesn't know me but attacked last night at the Golden Globes. She is a.....","https://twitter.com/realDonaldTrump/status/818419002548568064",2017-01-09 11:27:50
"meryl-streep","Hillary flunky who lost big","Hillary flunky who lost big. For the 100th time, I never ""mocked"" a disabled reporter (would never do that) but simply showed him.......","https://twitter.com/realDonaldTrump/status/818421066859167746",2017-01-09 11:36:02
"arnold-schwarzenegger","got swamped (or destroyed) by comparison","Wow, the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine, DJT. So much for....","https://twitter.com/realDonaldTrump/status/817348644647108609",2017-01-06 12:34:37
"chuck-schumer","clown","The Democrats, lead by head clown Chuck Schumer, know how bad ObamaCare is and what a mess they are in. Instead of working to fix it, they..","https://twitter.com/realDonaldTrump/status/816977032433270784",2017-01-05 11:57:57
"chuck-schumer","Fake Tears Chuck Schumer","Nancy Pelosi and Fake Tears Chuck Schumer held a rally at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!","https://twitter.com/realDonaldTrump/status/826390034693623809",2017-01-31 11:21:52
"democratic-national-committee","so careless","Julian Assange said ""a 14 year old could have hacked Podesta"" - why was DNC so careless? Also said Russians did not give him the info!","https://twitter.com/realDonaldTrump/status/816620855958601730",2017-01-04 12:22:38
"democratic-national-committee","why did they not have 'hacking defense' like the RNC has","Somebody hacked the DNC but why did they not have ""hacking defense"" like the RNC has and why have they not responded to the terrible......","https://twitter.com/realDonaldTrump/status/816637064708030464",2017-01-04 13:27:03
"democratic-national-committee","Gross negligence","Gross negligence by the Democratic National Committee allowed hacking to take place.The Republican National Committee had strong defense!","https://twitter.com/realDonaldTrump/status/817579925771341825",2017-01-07 03:53:38
"democratic-national-committee","poorly defended","Only reason the hacking of the poorly defended DNC is discussed is that the loss by the Dems was so big that they are totally embarrassed!","https://twitter.com/realDonaldTrump/status/817703208567078913",2017-01-07 12:03:31
"united-nations","has such great potential but right now it is just a club for people to get together, talk and have a good time","The United Nations has such great potential but right now it is just a club for people to get together, talk and have a good time. So sad!","https://twitter.com/realDonaldTrump/status/813500123053490176",2016-12-26 21:41:58
"united-nations","So sad!","The United Nations has such great potential but right now it is just a club for people to get together, talk and have a good time. So sad!","https://twitter.com/realDonaldTrump/status/813500123053490176",2016-12-26 21:41:58
"f35-program","out of control","The F-35 program and cost is out of control. Billions of dollars can and will be saved on military (and other) purchases after January 20th.","https://twitter.com/realDonaldTrump/status/808301935728230404",2016-12-12 13:26:13
"nbc-nightly-news","So biased, inaccurate and bad","Just watched @NBCNightlyNews - So biased, inaccurate and bad, point after point. Just can't get much worse, although @CNN is right up there!","https://twitter.com/realDonaldTrump/status/808114703922843649",2016-12-12 01:02:14
"nbc-nightly-news","Just can't get much worse","Just watched @NBCNightlyNews - So biased, inaccurate and bad, point after point. Just can't get much worse, although @CNN is right up there!","https://twitter.com/realDonaldTrump/status/808114703922843649",2016-12-12 01:02:14
"united-steelworkers","If United Steelworkers 1999 was any good, they would have kept those jobs in Indiana","If United Steelworkers 1999 was any good, they would have kept those jobs in Indiana. Spend more time working-less time talking. Reduce dues","https://twitter.com/realDonaldTrump/status/806678853305384960",2016-12-08 01:56:40
"chuck-jones","has done a terrible job representing workers","Chuck Jones, who is President of United Steelworkers 1999, has done a terrible job representing workers. No wonder companies flee country!","https://twitter.com/realDonaldTrump/status/806660011904614408",2016-12-08 00:41:48
"chuck-jones","No wonder companies flee country!","Chuck Jones, who is President of United Steelworkers 1999, has done a terrible job representing workers. No wonder companies flee country!","https://twitter.com/realDonaldTrump/status/806660011904614408",2016-12-08 00:41:48
"new-air-force-one","costs are out of control","Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!","https://twitter.com/realDonaldTrump/status/806134244384899072",2016-12-06 13:52:35
"new-air-force-one","Cancel order!","Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!","https://twitter.com/realDonaldTrump/status/806134244384899072",2016-12-06 13:52:35
"pa-recount","Just a Stein scam to raise money!","The Green Party just dropped its recount suit in Pennsylvania and is losing votes in Wisconsin recount. Just a Stein scam to raise money!","https://twitter.com/realDonaldTrump/status/805486509914779649",2016-12-04 18:58:43
